foo
0
0
0.5
0.3
1.5
66.1
217.5
168
7.2
12.6
7.1
0.3
0
0
0
0
0.2
135.9
483.3
138
11.6
1.9
0
0
12.6
0
0
0.1
0.3
141.9
240.4
561.2
104.6
1.1
0
0.4
0.1
2.2
6
0
0.2
116.2
352.4
214.2
519.3
33.2
0.1
2.6
0.3
0.1
0.1
0.7
3
105
110.6
399.9
306.7
50
0.2
0
0
0.1
0
0.1
27.5
101.3
655.5
331.6
133.3
113
2.2
1.3
2.4
0
0.2
0
6.4
156.7
261.5
196.1
16.4
7.6
8.3
0.2
1
0
0.2
1.4
0.7
103.3
340.9
287.3
332.3
47.8
9.5
0.1
0
0
0
3
1.5
96.3
627.4
321.3
365.1
122.7
4.2
0.1
1.5
0
0.2
0
8.4
128.9
220.7
207.7
75
6.4
0
0.1
0
0.7
0
0
0.5
93.8
357.3
179.4
293.2
15.8
0.1
0
0
0
1.4
1.3
1.9
46.2
296.4
172.8
226.1
0
10.5
3.2
1.7
0
0.9
0.3
0.4
65.5
288.1
355.4
219.9
27.7
33.7
0.5
0.1
0
0
0
4.5
103.5
372.1
297
115.4
0.4
0.1
0
7.1
0
0.5
0.4
1.1
9.5
439.3
168.9
22.9
1
2.6
0.1
0.3
0
0.1
0
0.7
124.2
314.5
71.3
180.5
0.8
0.3
0.1
0
0
41.5
0.4
0.2
131.1
410.8
207.1
120.9
0.9
0
21.3
0.1
0.3
1.4
0
0.2
32.4
287.4
300.2
46.7
10
0
0
0
0.1
0
0
0
100.8
322.6
153
197.7
0
8.2
4.2
0.1
0.9
0.1
0.1
5.8
264.1
262.8
495.7
325.1
6
0
0
0
0.1
0
0.3
5.3
180.1
250
191.7
136.2
4.7
0
0
0.1
1.9
0
0
1.7
85.5
212.7
182
23.8
0.2
0
0
0.2
0.5
0.1
0
1.2
95.9
300.5
374.3
388.4
8.2
0
0.1
0
0
0
0.4
51.6
21.9
133
103.5
67.6
38.1
0
1.3
0
0
0.5
0
0.2
155.9
215.5
444.2
314.7
47.4
0
0
3.4
0
0
0
0.2
350.4
581.9
476.5
148.8
0.2
61
0
3.4
0.1
0.2
0.1
16.4
307.2
559.5
246.8
160.5
0.7
9.1
0
0
1.2
0
1.9
0.5
152.6
278.5
419.2
53.9
6.3
26.4
6.5
0.9
4.2
0
0
0.3
131
176
440.4
46.2
11.2
93.7
0.1
0.1
0
0
0
0.1
260.2
267.8
254.1
23.7
0.7
0.4
17.7
1.2
0
0.6
0.1
0.3
114.4
408.5
380.6
136.4
40.5
29.5
0
0.3
0.1
0.1
2.8
43
38.9
268.1
271.1
25.9
6.5
97.6
0
0.1
0
0
7.8
1.4
134
408.9
406.6
182.8
80.2
0
0
0
0
0
0
0
83.8
252.5
421.9
91.7
5.5
1.6
0
0
0
0
0.8
1.9
14.6
250.5
181.7
18.3
126.1
0
0.3
0
0
0.1
0
2
183.1
159.4
148.7
5.8
1.9
1
0
0.6
0.5
0
0
0.3
71.1
119.7
184.1
5.7
3.1
10.9
10.8
0
0
0
2.8
0
74.8
568.4
251.1
193.6
10.6
0
0
1.1
0
0
0
0.1
114.7
349.8
304
58.7
1.4
0
0
0
3.3
0.2
0
33.9
79.4
219.5
524.9
230.4
15.4
5.4
3.5
0
0
0
0
0
51.8
447.6
132.4
40.9
0
0.7
0
0.7
0
0
0
1.2
130.2
249.4
244.4
240.3
19.1
2.8
0
0
1.5
0.1
0
0
131.7
563.2
62.8
147.9
28.6
1.6
0
6.2
0
0
0.1
0
299.8
475.5
370.8
326
1.8
0.1
0
2.5
0
0.2
0
0
8.6
436.8
127.3
70.5
21.3
0.6
0.6
1
0
0
0
0
119.6
368.8
228
144.5
23.4
0.1
0
0.7
0
0.2
3.6
4.3
363.4
229.1
348.9
91.8
8
1
0.9
0
0.2
0
0
0
111.1
310.9
202.3
343.5
93.7
3.9
0
0
1.7
0
0
8.2
156.2
218.2
53.4
57
69.1
0
0
0
0
0
0
38
66.6
294.3
126.5
13.1
0.2
0
4
0
0
0
0.9
6.9
241.5
383.4
305.7
31.6
37.6
0
0
0
0
0.1
0
0.1
268.4
51.5
266.6
118.2
0.1
0.3
0.1
0
9.2
0
0.1
0
237.7
531.9
344.6
132.6
3.3
0
0
0
0
0
0
3.1
131
247.5
549.2
51.1
22.3
0
0
0
0
0
0
0.1
402.4
384.5
246.2
351.1
1.1
0
0
0
0
0.4
0
0
120.7
575.9
614.7
137.5
7.7
1.1
0
0
0.1
0
0
0
92.4
542.1
349.5
173.4
0
1.3
0
0
0
0
2.3
0
60.5
267.7
377.7
212.3
10
0.1
1.9
0
0
0
0
0
16.8
402.1
137.5
57
27.8
8.2
0
0.1
0
0
0
0
61.1
342.8
386.4
220.9
8.3
39.9
0.3
0
0.2
0
0
0
15.9
271.5
456.4
157.5
2.4
0
0
0.1
0
0
0.1
0
32.4
162.1
205.4
247.3
4.6
0
0
0
1.1
0.1
5.6
0
168.2
454.2
238.1
323.3
59.9
0.1
0
7.5
0.2
0.2
1
1.3
12.2
341.8
154.5
268.6
3.5
1.5
0
