month,mean discharge
January,1720.232793599311
February,1010.6702211921329
March,1627.249923164841
April,1760.3496781303909
May,423.4609318382021
June,1328.7023709691741
July,2424.563582959929
August,4441.379407670994
September,4152.243440980524
October,3701.8577441734847
November,2282.9306816354306
December,1399.9960691521808
