date,discharge
2018-03-28,1000.69865
2018-03-29,1010.537078
2018-03-30,1008.310579
2018-03-31,1018.169368
2018-04-01,1005.805545
2018-04-02,1306.922927
2018-04-03,1553.782166
2018-04-04,1746.199316
2018-04-05,1893.99892
2018-04-06,2007.024096
2018-04-07,2093.339054
2018-04-08,2159.228372
2018-04-09,2209.519096
2018-04-10,2247.902501
2018-04-11,2277.197519
